DIVISI,Material SAP,Material Description Maximo,Base Unit of Measure,Status,Lokasi Sistem,Lokasi Fisik,StoreRoom,Penempatan pada Alat,Deskripsi Penempatan
ME,11-100-001739,DIODE 1911-59008,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001816,SWIVEL PN. 991968 VOLVO,PC,ACTIVE,II 5,II 5,TPS,NULL,No Placement Information Available
RTG,AA-003-000358,TWISTLOCK NUT PN. BR1000432 ( GENUINE PART ),PC,ACTIVE,BB 1,BB 1,TPS,FASTENERS,Fasteners and Hardware
Lain,AA-003-001095,BOLT NUT;M14 X 55,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000514,SEAL;V-RING V-275L,PC,,,,,NULL,No Placement Information Available
Lain,AA-005-000581,FLIPPER ARM (GEAR BOX BESAR);SSX45,PC,,,,,NULL,No Placement Information Available
Lain,AA-005-001487,FABRIKASI;ROLLER SAFETY WIRE;OD115x465MM,PC,,,,,NULL,No Placement Information Available
Lain,AA-015-000033,SWICTH MAGNETIC 3050692,PC,,,,,NULL,No Placement Information Available
Lain,AB-005-000035,PHILIPS;LAMPU;400 WATT HPI - T PLUS,PC,,,,,NULL,No Placement Information Available
Lain,AB-006-000206,"SKUN KABEL RING (O);SC 2,5-4",PC,,,,,NULL,No Placement Information Available
Lain,AB-009-000067,"SCHNEIDER;MCB 3 PHASA, 32A",PC,,,,,NULL,No Placement Information Available
Lain,AB-009-000082,"SCHNEIDER;MCB 1 PHASA, 6A",PC,,,,,NULL,No Placement Information Available
Lain,AB-009-000090,FUSE;10A,PC,,,,,NULL,No Placement Information Available
Lain,AB-009-000112,SCHNEIDER;MCB SINGLE PHASE;10A,PC,,,,,NULL,No Placement Information Available
Lain,AB-009-000114,SCHNEIDER;MCB SINGLE PHASE;25A,PC,,,,,NULL,No Placement Information Available
Lain,AB-009-000205,SCHNEIDER;MCB;3P 40A,PC,,,,,NULL,No Placement Information Available
Lain,AB-009-000262,"SCHNEIDER;MCB SINGLE PHASE, 32A",PC,,,,,NULL,No Placement Information Available
Lain,AB-011-001185,Omron;Limit Switch;D4C-9164,PC,,,,,NULL,No Placement Information Available
Lain,11-100-000343,LOCK RING,EA,,,,,NULL,No Placement Information Available
Lain,11-700-000138,JERIGEN,EA,,,,,NULL,No Placement Information Available
Lain,12-200-000130,TRANSMISSION OIL DEXTRON III,UN,,,,,NULL,No Placement Information Available
Lain,13-100-000898,Sapu Lidi,L,,,,,NULL,No Placement Information Available
Lain,13-100-000901,Sapu Dorong Lantai,PC,,,,,NULL,No Placement Information Available
Lain,AA-001-000050,"USHA;WIREROPE;26,L,6X36,GALV;L49m",PC,,,,,NULL,No Placement Information Available
Lain,AA-001-000051,"USHA;WIREROPE;26,L,6X36,GALV;L59m",M,,,,,NULL,No Placement Information Available
Lain,AA-001-000054,"USHA;WIREROPE;26,R,6X36,GALV;L49m",M,,,,,NULL,No Placement Information Available
Lain,AA-001-000071,UshaMartin;26mmIWRC6x36;LHOL;GalvL56.59m,M,,,,,NULL,No Placement Information Available
RTG,AA-001-000164,Wire Rope ACM Ø 16mm 6x36 IWRC L.54m RH,M,ACTIVE,RollingDoor 02,RollingDoor 02,TPS,HOIST_SYSTEM,Hoist and Lifting System
RTG,AA-001-000165,Wire Rope ACM Ø 16mm 6x36 IWRC L.54m LH,M,ACTIVE,RollingDoor 02,RollingDoor 02,TPS,HOIST_SYSTEM,Hoist and Lifting System
RTG,AA-001-000166,Wire Rope ACM Ø 16mm 6x36 IWRC L.47m LH,M,ACTIVE,RollingDoor 02,RollingDoor 02,TPS,HOIST_SYSTEM,Hoist and Lifting System
RTG,AA-001-000167,Wire Rope ACM Ø 16mm 6x36 IWRC L.47m RH,M,ACTIVE,RollingDoor 02,RollingDoor 02,TPS,HOIST_SYSTEM,Hoist and Lifting System
CC,AA-001-000212,Wire Rope Main HOist IWRC 6xWS (36)-1960-Ф26-465m (Left),M,ACTIVE,BLOCK,ROLLINGDOOR 6,TPS,NULL,No Placement Information Available
Lain,AA-001-000320,"BS;WIRE ROPE;26MM,C 6X36(WS),UNV;L220M T",M,,,,,NULL,No Placement Information Available
Lain,AA-001-000333,"BRIDON;WIRE ROPE;26, IWRC,R,6X36,U;L51m",M,,,,,NULL,No Placement Information Available
Lain,AA-002-000059,MICHELIN STEEL;TUBE VALVE EXTENSION; 921,M,,,,,NULL,No Placement Information Available
Lain,AA-003-000030,KALMAR;WHEEL NUT;1095,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000079,BOLT NUT;M10 X 50,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000081,BOLT NUT;M12 X 150,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000083,BOLT NUT;M12 X 50,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000089,BOLT NUT;M16 X 60 BAJA,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000210,NEPLE ACTUATOR,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000309,FABRIKASI;SPHERICALWASHER;SPREADERBROMMA,PC,,,,,NULL,No Placement Information Available
CC,AA-003-000336,Spherical Washer PN.41683 Bromma,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
RTG,AA-003-000357,SCREW M6S 8X75 PN. BR1000600 ( GENUINE PART ),PC,ACTIVE,BB 1,BB 1,TPS,FASTENERS,Fasteners and Hardware
Lain,AA-003-000359,BROMMA;NUT LOCKING M12;BR77891,PC,,,,,NULL,No Placement Information Available
RTG,AA-003-000360,"WASHER BRB PN. BR77798 8,4X16X1,6 ( GENUINE PART )",PC,ACTIVE,BB 1,BB 1,TPS,FASTENERS,Fasteners and Hardware
Lain,AA-003-000384,RING PLAT;16MM,PC,,,,,NULL,No Placement Information Available
ME,AA-003-000387,Wheel Nut PN. 90031893 Ottawa,PC,ACTIVE,GG 1,GG 1,TPS,NULL,No Placement Information Available
ME,AA-003-000389,Wheel Hub PN: 90031310,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
Lain,AA-003-000390,BOLT;M12 X 90,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000549,BALL JOINT RH;MC025495-PS190(10MM),PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000557,RING PER;1/2,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000570,RING PLAT TEMBAGA;14 MM,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000601,BOLT STUD SS;M24,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000641,BOLT;M12 x 40,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000649,BOLT NUT;M8 X 120,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000669,BOLT NUT;M16 X 100,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000676,"ONDA;KRAN;1/2""",PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000678,BOLT;M16 x 25,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000715,BOLT NUT BAJA;M12 X 55,PC,,,,,NULL,No Placement Information Available
CC,AA-003-000731,"Stud, PN: 3010915, Brand: Cummins -P",PC,PLANNING,LL 3,LL 3,TPS,NULL,No Placement Information Available
Lain,AA-003-000850,WASHER LOCK;M16,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000857,RING PLAT;20,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000917,BOLT NUT;M20 X 70,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000952,BOLT NUT;M20X50,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000961,BOLT NUT;M5 X 50,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000966,RING PLAT;8,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000977,BOLT NUT;M8 X 25,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-000994,BOLT NUT;M12 X 120,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001081,BOLT NUT;M10 X 150,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001132,BOLT NUT;M10 X 35,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001157,BOLT NUT;M12 X 25,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001265,NUT;M9,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001269,RING PEER;M16,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001307,BOLT NUT STUD;M20,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001365,NUT;M12 SS,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001432,0;BOLT L;M16 X 40,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001541,0;RING PLAT;M6,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001584,0;BOLT NUT;M24 X 150,PC,,,,,NULL,No Placement Information Available
CC,AA-003-001654,"Washer Plain, PN: 146160, Brand: Cummins -P",PC,PLANNING,NN 2,NN 2,TPS,NULL,No Placement Information Available
Lain,AA-003-001908,0;BOLT NUT;M24 X 80,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001944,0;RING PLAT;M12,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001989,MITSUBISHI;CLAMP HOSE;05317-50701,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-001990,MITSUBISHI;CLAMP HOSE;05317-02500,PC,,,,,NULL,No Placement Information Available
Lain,AA-003-002036,0;MUR;M20,PC,,,,,NULL,No Placement Information Available
CC,AA-003-002136,Lock Pin PN.74044 Bromma,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
Lain,AA-003-003138,"Cummins;Spacer,Mounting;4965484",PC,,,,,NULL,No Placement Information Available
Lain,AA-003-003157,Kalmar;Wheel Stud;90031059,EA,,,,,NULL,No Placement Information Available
Lain,AA-003-003158,Kalmar;Wheel Nut;90027058,EA,,,,,NULL,No Placement Information Available
Lain,AA-004-000009,GASKET;ROCKER LEVER COVER;3067459,EA,,,,,NULL,No Placement Information Available
Lain,AA-004-000011,GASKET;REAR COVER;3067616,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000022,GASKET;KIT AFTERCOOLER;3801594,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000035,Oring;3050667,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000057,SEAL ORING;212161,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000059,SEAL OIL;3006737,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000061,SLEEVE WEAR SEAL;NTA855;3006743,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000063,SEAL KEY WAY;3008947,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000067,SEAL OIL;3020185,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000112,ORING RETURN FILTER;SUB-920052.0043-11,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000152,SEAL KIT ROTATOR;923899.0640,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000256,"oring;Stinis;VIT SH70,CETOP-3; 8,73x1,78",PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000269,Cummins;Seal Rectangular Ring;154087,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000270,Cummins;Seal Kit;3803615,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000274,KALMAR;OIL SEAL;90031015,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000319,KALMAR;O-RING;920052.049,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000343,KALMAR;SEAL;924015.0777,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000438,CUMMINS;GASKET CAMSHAFT COVER;3040722,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000445,CUMMINS;SEAL OIL;3065830,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000446,CUMMINS;SEAL OIL;3016792,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000487,"CUMMINS;SEAL, O-RING;3048182",PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000515,SEAL;V-RING V-300A,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000581,SEAL;130 X 165 X 15,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-000658,SEAL;DOUBLE DHS 170X180X8,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-001096,CUMMINS;FUEL PUMP GASKET SET;3010242,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-001176,CUMMINS;SEAL RECTANGULAR RING;3024709,PC,,,,,NULL,No Placement Information Available
Lain,AA-004-001485,REPAIR;SHAFT ROPE SHEAVE WIREROPE HOIST;,PC,,,,,NULL,No Placement Information Available
ME,AA-004-001845,KARET CHAMBER ENGKEL - RUBBER T30 - BENDIX,EA,ACTIVE,JJ 3,JJ 3,TPS,NULL,No Placement Information Available
Lain,AA-005-000439,FABRIKASI;ROLLER CABLE MANLIFT,EA,,,,,NULL,No Placement Information Available
Lain,AA-005-000579,"FABRIK;GEARREDUCER;DIA.252X140M:19,Z:19",PC,,,,,NULL,No Placement Information Available
Lain,AA-005-000704,REPAIR;WATER PUMP,PC,,,,,NULL,No Placement Information Available
Lain,AA-005-000893,FABRIKASI;CLAMP FLIPPER SPREADER STINIS,PC,,,,,NULL,No Placement Information Available
Lain,AA-005-001418,NSK;BEARING;HR 30308 DJ,PC,,,,,NULL,No Placement Information Available
CC,AA-005-001698,Bushing Dia 90/73L = 25 PN.42522 Bromma,PC,,,,TPS,NULL,No Placement Information Available
Lain,AA-006-000045,RUBBER COUPLING;MOTOR CABLE REEL SCJ,PC,,,,,NULL,No Placement Information Available
Lain,AA-006-000169,ROTEX;RUBBER COUPLING;GR-55,PC,,,,,NULL,No Placement Information Available
CC,AA-006-000172,Gear Wheel PN. 33184 Bromma,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
Lain,AA-006-000175,TSUBAKI;COVER COUPLING;KC-6022,PC,,,,,NULL,No Placement Information Available
Lain,AA-006-000195,RUBBER COUPLING;GR-28,PC,,,,,NULL,No Placement Information Available
Lain,AA-006-000306,SHAFT COUPLING;PN BR795555,PC,,,,,NULL,No Placement Information Available
